File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time,error,Real,Time,Total
,239304.219884248712333,24.596501548999999,239304.219946988101583,1.209619946000000,0.000062739389250,95.082146363009173,234650.894728944549570,0.726155786000000,4653.325155304162763,32564.646043643824669,0.072479948000000,97796.829827970999759 
,239304.219884247810114,24.293928819000001,239304.219946978118969,1.389711407000000,0.000062730308855,94.279593813936259,234650.894728944520466,0.727864056000000,4653.325155303289648,32564.646043644304882,0.072431551000000,97796.829827970534097 
,239304.219884248333983,24.557157020999998,239304.219946986937430,1.179463057000000,0.000062738603447,95.197070019174518,234650.894728944549570,0.731703050000000,4653.325155303784413,32564.646043643730081,0.072188189000000,97796.829827970475890 
 
 
POSCAR9,210733.205114385724301,99.542473969000000,210733.205226722464431,3.835818179000000,0.000112336740131,96.146551290060799,204441.914826406980865,2.620718625000000,6291.290287978743436,-160774.652205628633965,0.290586963000000,-298185.519291086005978 
,210733.205114368756767,98.171044273000007,210733.205226678837789,3.733107990000000,0.000112310081022,96.197343098827858,204441.914826406980865,2.626963597000000,6291.290287961775903,-160774.652205629798118,0.288758727000000,-298185.519291104166768 
,210733.205114353186218,98.933655963000007,210733.205226608522935,3.844078445000000,0.000112255336717,96.114488636265861,204441.914826406980865,2.621345533000000,6291.290287946205353,-160774.652205629507080,0.290371864000000,-298185.519291119417176 
,210733.205114380660234,98.422888353999994,210733.205226630234392,3.731086612000000,0.000112249574158,96.209127089848948,204441.914826406980865,2.627022117000000,6291.290287973679369,-160774.652205629070522,0.291723701000000,-298185.519291091535706 
,210733.205114386917558,98.346047893999994,210733.205226643825881,3.830936680000000,0.000112256908324,96.104635862816707,204441.914826406980865,2.625034940000000,6291.290287979936693,-160774.652205630089156,0.288826867000000,-298185.519291086297017 
 
 
