File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time(For Integral),Reciprocal(3DFFT),Time,error,Real,Time,Total
,16858.918724573773943,0.232065953000000,16858.918248854126432,0.054804310000000,0.000475719647511,76.384166099539826,16202.399652055584738,0.046787503000000,656.519072518189205,1559.565722509061288,0.000750392000000,-5951.600941908549430 
 
 
POSCAR4,23377.601612111648137,0.423859442000000,23377.601974864963267,0.088193958000000,0.000362753315130,79.192640469714945,22280.717817000746436,0.055840711000000,1096.883795110901701,-3801.490674452518306,0.001406178000000,-12917.336247662715323 
,23377.601612111888244,0.455799088000000,23377.601974864919612,0.078221684000000,0.000362753031368,82.838560659866872,22280.717817000750074,0.054931454000000,1096.883795111138170,-3801.490674452510120,0.001988353000000,-12917.336247662467940 
,23377.601612111811846,0.464757999000000,23377.601974864854128,0.079562321000000,0.000362753042282,82.880914116337777,22280.717817000746436,0.056401327000000,1096.883795111065410,-3801.490674452509666,0.001400305000000,-12917.336247662544338 
,23377.601612112001021,0.414944523000000,23377.601974864839576,0.075367931000000,0.000362752838555,81.836624699827652,22280.717817000746436,0.056749750000000,1096.883795111254585,-3801.490674452505573,0.001365770000000,-12917.336247662351525 
,23377.601612111848226,0.408691082000000,23377.601974864919612,0.073231816000000,0.000362753071386,82.081376564023003,22280.717817000746436,0.055839323000000,1096.883795111101790,-3801.490674452509211,0.001411391000000,-12917.336247662507958 
 
 
POSCAR5,13144.864811415727672,0.803014983000000,13144.863664465141483,0.196295623000000,0.001146950586190,75.555173047126075,12029.786981260898756,0.067907118000000,1115.077830154828916,-2199.667595366971000,0.002089032000000,-29671.611765603549429 
,13144.864811415774966,0.706851564000000,13144.863664465246984,0.100200484000000,0.001146950527982,85.824395233282672,12029.786981260898756,0.068008820000000,1115.077830154876210,-2199.667595366975092,0.002464209000000,-29671.611765603505773 
,13144.864811415800432,0.669800633000000,13144.863664465403417,0.094374049000000,0.001146950397015,85.910128424736797,12029.786981260896937,0.065134482000000,1115.077830154903495,-2199.667595366970090,0.002174640000000,-29671.611765603476670 
,13144.864811415625809,0.645349326000000,13144.863664465128750,0.093661445000000,0.001146950497059,85.486706001456341,12029.786981260895118,0.063971656000000,1115.077830154730691,-2199.667595366953265,0.002173180000000,-29671.611765603633103 
,13144.864811415751319,0.649600015000000,13144.863664465166949,0.097067691000000,0.001146950584371,85.057313922629760,12029.786981260896937,0.063710091000000,1115.077830154854382,-2199.667595366964633,0.002177453000000,-29671.611765603520325 
 
 
POSCAR6,29109.561770970318321,1.466327880000000,29109.561266418200830,0.157535914000000,0.000504552117491,89.256433288303825,26745.785428735067399,0.094772214000000,2363.776342235250922,-363.458262065215877,0.004673634000000,-32179.109963573358982 
,29109.561770970190992,1.435550423000000,29109.561266418222658,0.156827245000000,0.000504551968334,89.075462450683972,26745.785428735063761,0.093398297000000,2363.776342235127231,-363.458262065188478,0.004610491000000,-32179.109963573460846 
,29109.561770970078214,1.435212672000000,29109.561266418044397,0.158987372000000,0.000504552033817,88.922382368708639,26745.785428735067399,0.093229736000000,2363.776342235010816,-363.458262065189047,0.004676044000000,-32179.109963573573623 
,29109.561770970249199,1.421015269000000,29109.561266418262676,0.155927992000000,0.000504551986523,89.027000947728737,26745.785428735067399,0.093178332000000,2363.776342235181801,-363.458262065224119,0.004636214000000,-32179.109963573439018 
,29109.561770970885846,1.446341521000000,29109.561266418320884,0.162777131000000,0.000504552564962,88.745595100702360,26745.785428735063761,0.093686801000000,2363.776342235822085,-363.458262065192571,0.005739793000000,-32179.109963572769630 
 
 
POSCAR7,79924.175394629637594,5.677651932000000,79924.176524762238842,0.399131864000000,0.001130132601247,92.970124467291853,78133.806718810592429,0.225098804000000,1790.368675819045166,-2185.942426651613005,0.018200301000000,-44112.193976978902356 
,79924.175394629186485,5.567290676000000,79924.176524761787732,0.396501245000000,0.001130132601247,92.878021499590915,78133.806718810592429,0.232211977000000,1790.368675818594056,-2185.942426651580718,0.018200837000000,-44112.193976979324361 
,79924.175394630161463,5.585447853000000,79924.176524759983295,0.437894016000000,0.001130129821831,92.160091231273384,78133.806718810592429,0.235475774000000,1790.368675819569035,-2185.942426651623919,0.018206735000000,-44112.193976978393039 
,79924.175394629142829,5.635079667000000,79924.176524762297049,0.403963245000000,0.001130133154220,92.831277127000021,78133.806718810577877,0.227472408000000,1790.368675818564952,-2185.942426651645746,0.018221656000000,-44112.193976979426225 
,79924.175394627367496,5.948038033000000,79924.176524761380279,0.429866234000000,0.001130134012783,92.772974355323854,78133.806718810577877,0.227669490000000,1790.368675816789619,-2185.942426651649384,0.018481451000000,-44112.193976981201558 
 
 
POSCAR8,83000.135243554832414,25.041564946000001,83000.140356952833827,1.117179129000000,0.005113398001413,95.538700830363041,79491.657689710293198,0.741983819000000,3508.477553844539216,-142208.507356760412222,0.072413325000000,-302909.226003119430970 
,83000.135243566372083,24.605509613999999,83000.140356971125584,1.100306492000000,0.005113404753502,95.528210919988624,79491.657689710307750,0.716779960000000,3508.477553856064333,-142208.507356760354014,0.072182149000000,-302909.226003107847646 
,83000.135243554163026,24.530086149999999,83000.140356957388576,1.100135805000000,0.005113403225550,95.515157189939174,79491.657689710293198,0.719566740000000,3508.477553843869828,-142208.507356760412222,0.072221458000000,-302909.226003120071255 
,83000.135243563563563,24.631406160000001,83000.140356964926468,1.152892843000000,0.005113401362905,95.319419299446125,79491.657689710307750,0.715506118000000,3508.477553853255813,-142208.507356760936091,0.073001956000000,-302909.226003111223690 
,83000.135243555996567,24.589910863000000,83000.140356957243057,1.150175228000000,0.005113401246490,95.322572601388941,79491.657689710307750,0.716732180000000,3508.477553845688817,-142208.507356760383118,0.072417787000000,-302909.226003118208610 
 
 
