File,Reciprocal,Time,Reciprocal(Integral),Time,error,%Reduction in Time,Real,Time
,79924.175394630074152,6.237548618000000,79924.176524763286579,0.407270838000000,0.001130133212428,93.470658700363174,1324.092494745318618,0.019573037000000 
 
 
POSCAR8,83000.135243554803310,24.967263660000000,83000.140356951495050,1.118104356000000,0.005113396691740,95.521718474134133,-133083.568110739404801,0.078370543000000 
,83000.135243551892927,24.765356335000000,83000.140356955424068,1.140344215000000,0.005113403531141,95.395405583612018,-133083.568110739899566,0.080672206000000 
,83000.135243563621771,24.702703062000001,83000.140356966483523,1.174520691000000,0.005113402861753,95.245375827689230,-133083.568110739346594,0.078030945000000 
,83000.135243557684589,24.657564145999999,83000.140356963631348,1.115360661000000,0.005113405946759,95.476598359854876,-133083.568110739404801,0.078483514000000 
,83000.135243574724882,24.547294575999999,83000.140356972449808,1.100445915000000,0.005113397724926,95.517037889479226,-133083.568110739288386,0.078388862000000 
 
 
POSCAR9,320244.399130805977620,98.871226938999996,320244.395328729355242,3.815662736000000,0.003802076622378,96.140775376081734,146797.134672674350441,0.312860081000000 
,320244.399130894977134,98.426609220000003,320244.395328771846835,3.515327960000000,0.003802123130299,96.428478042820061,146797.134672675776528,0.312089088000000 
,320244.399130838166457,98.322494758000005,320244.395328719110694,3.705201550000000,0.003802119055763,96.231583058261933,146797.134672674321337,0.311954856000000 
,320244.399130850099027,99.114568594000005,320244.395328730985057,3.611779922000000,0.003802119113971,96.355954555182677,146797.134672677377239,0.313551598000000 
,320244.399130893347319,98.363384350000004,320244.395328884129412,3.703337963000000,0.003802009217907,96.235044180848178,146797.134672675863840,0.312188049000000 
 
 
POSCAR10,695338.653727219672874,396.273294577000001,695338.644923049607314,13.614115676999999,0.008804170065559,96.564462994779333,56934.830605856601323,1.248537659000000 
,695338.653726615128107,393.630325860000028,695338.644923097919673,12.369419253000000,0.008803517208435,96.857605108047665,56934.830605852148437,1.249041066000000 
,695338.653726838761941,394.795993543999998,695338.644922647625208,13.132690534000000,0.008804191136733,96.673550200925135,56934.830605854331225,1.248505412000000 
,695338.653727432596497,394.174790423999980,695338.644923001877032,12.365919476000000,0.008804430719465,96.862833500159041,56934.830605849645508,1.250829991000000 
,695338.653726879158057,394.536873720000017,695338.644922725507058,13.128953608000000,0.008804153650999,96.672312657569861,56934.830605850555003,1.248381487000000 
 
 
